Product Name,Score,PS,Brand Name,Price
"""CLEAR CLEAN ESN"" Sprint EPIC 4G Galaxy SPH-D700*FRONT CAMERA*ANDROID*SLIDER*QWERTY KEYBOARD*TOUCH SCREEN",3.7027027027027026,1,Samsung,199.99
"""Nokia Asha 302 Unlocked GSM Phone with 3.2MP Camera, Video, QWERTY Keyboard, Wi-Fi, Bluetooth, FM Radio, SNS Integration, MP3/MP4 Player and microSD Slot - White International Version/Warranty",4.205479452054795,2,Nokia,299.0
'ATT Wireless LG CU720 Shine for in Red',4.4,1,Lg,25.99
"(LANDVO) 5.0"" Capacitive Touch MTK6582 Quad Core Android 4.2.2 3G Phone 512MB RAM 4GB ROM 2MP CAM WiFi GPS - Black",4.25,1,Htm,69.99
"10.6'' Inch E-passion Unlocked Smart Phone +Tablet='' Phablet'' Android 4.4 Kitkat Gsm,Wcdma Tablet Phone - Unlocked Dual Sim Card,Quad Core- At&t, Cricket,Straight Talk ,T-Mobile,H20,Net10 3g Phone Tablet 2G Ram 32G Rom[Free Leather Case]",2.9411764705882355,1,E passion,99.95
"2.45"" UNLOCKED Rugged Micro Android Smart Phone; Dual-Sim, WiFi, and Bluetooth",2.0,1,Cedar tree technologies,66.51
"2016 GSM Factory Unlocked! Smartphone 6"" QHD Android 5.1 Lollipop Bluetooth WiFi",2.0,1,Indigi,95.29
2016 Latest Mini6 Small Android 5.1 Smart Mobile Cell Phone Touch Screen Can Work With Worldwide (Gold),5.0,1,Phone baby,79.95
2016 Latest Mini6 Small Android 5.1 Smart Mobile Cell Phone Touch Screen Can Work Worldwide (Black),5.0,1,Phone baby,79.95
2016 Latest Mini6 Small Android 5.1 Smart Mobile Cell Phone Touch Screen Can Work Worldwide (Rose Gold),5.0,1,Phone baby,79.95
"2016 Newest 6"" Unlocked Indigi M8 White Wireless SmartPhone Android 5.1 (Dual SIM) Unlocked",2.0,1,Indigi,109.19
3 Pack Replacement Belt Clip Holster for Otterbox Iphone 5 Defender Case - Black,4.233333333333333,1,Otterbox,17.95
4.5 Inch Unlocked Lenovo A516 Smartphone (White) IPS Screen 854*480pixel 4GB MT6572 Dual Core Android 4.2 Dual Camera with auto Focus and Flash(Rooted + Google Play),5.0,8,Lenovo,2000.0
"4G Huawei Honor 6 Hisilicon Kirin 920 1.7GHz FDD LTE Octa Core RAM 3GB ROM 32GB 5.0""inch FHD 1920x1080P 13MP Android 4.4 Phone (White 32GB ROM)",2.0,1,3gb,212.99
4G Huawei Honor 6 Plus PE-UL00 FNC 3GB+16GB 5.5 inch FHD EMUI 3.0 (Android 4.4) Smart Phone Octa Core Hisilicon Kirin 925 1.8GHz 3600mAh Dual SIM FDD-LTE WCDMA GSM (White) (International Version),5.0,1,Huawei,228.0
4G-Unlocked Huawei Honor 6 5.0 TFT LTPS Screen 1920 x 1080 pixel 13.0MP Camare Android 4.4.2 Kirin 920 Octa-core Smartphone 3GB RAM+16GB ROM Dual SIM (black),4.142857142857143,4,X,965.17
4G-Unlocked Huawei Honor 6 5.0 TFT LTPS Screen 1920 x 1080 pixel 13.0MP Camare Android 4.4.2 Kirin 920 Octa-core Smartphone 3GB RAM+16GB ROM Dual SIM (white) - International Version No Warranty,4.142857142857143,1,Huawei,161.06
"5.0"" Cell Phones Unlocked Android 5.1 MTK6580 Quad Core ROM 4GB 5.0MP Camera Dual Sim Quadband-JUNING GSM/3G Smartphone White",3.05,1,Juning,89.99
"5.0"" Elephone P6000 MTK6732 64-bit Quad Core 2GB/16GB Android 4.4 Mobile Phone(Black)",3.5454545454545454,1,Elephone,161.06
"5.0"" Phones Unlocked Android 5.1 MTK6580 Quad Core ROM 4GB 5.0MP Camera Dual Sim Quadband-JUNING GSM/3G Cellphone Gold",2.7,1,Juning,89.99
